RoadName,RouteType,RoadKey
14670 SOUTHLAWN LANE,UNKNOWN,7689257250155998
ELMER SCHOOL RD,County,1927230650470366
BERRYVILLE RD,County,2482438212189246
SILKCOTTON WAY,County,9519127516382709
NICHOLSON LA,County,2106918779836496
HALPINE RD,Municipality,744895089024983
WARING STATION RD,County,6910034440025097
EAST VILLAGE AVE,County,991322767900708
PICCARD DR,Municipality,4784177059650892
KEYSTONE AVE,County,125184815271258
TURKEY FOOT RD,County,6907118600626341
EXECUTIVE BLVD,County,2212931768947068
SHADOW OAK DR,County,9606798610594100
SECURITY LA,County,1866961745172305
HERITAGE HILLS DR,County,6068565685548228
ROYAL DOMINION DR,County,2810990849197631
WALDORF DR,County,1172801449178567
MEADOWSIDE LA,Government,2163367065543604
FLANDERS AVE,County,4301450254878855
SPENCER RD,County,3621798606257266
BROADWOOD DR,Municipality,8860205851159609
RUATAN ST,County,3978079379521510
VEIRS MILL SERV RD,Municipality,7859942413143807
REDLAND BLVD,Municipality,6551387848810278
LEXINGTON ST,Municipality,1756049854083347
KENSINGTON PKWY,County,1850377435361223
SOMERVILLE RD,UNKNOWN,6639413847642976
GEORGIAN WOODS PL,Other Public Roadway,3839847760254475
FLACK ST,County,1794839115545224
RAMP 3 FR IS 370 EB TO IS 270 NB,Ramp,5633154037757522
1030 VIERS MILL ROAD,UNKNOWN,7768620302981645
BARNESVILLE RD,Maryland (State),3010070691287401
WAYNE AVE,County,8825017167010994
GUE RD,County,3039219658100117
SHERRIE LA,County,5877368233477973
WHITMOOR TERR,County,4433668719090514
NIGHTINGALE ST,County,1570933896756139
5TH AVE,Municipality,2067974557904549
MARKET ST,Maryland (State),8238528948646223
DORSEY MILL DR,County,7506302224231693
RUGBY AVE,County,7209473579050791
N HORNERS LA,Municipality,296031375146541
WHITTIER BLVD,County,3134929711281422
OLD GEORGETOWN RD,County,2041006003706383
355 N BOUND,UNKNOWN,8940956588495328
GAITHER RD,Municipality,8337261265550886
WESTERLY AVE,Municipality,743503238106155
NEEDWOOD LAKE DR,Government,5874829446684110
MARYLAND AVE,Other Public Roadway,1201914823901252
MAHAN RD,County,8095126171338083
WILTON OAKS DR,County,6556006550249020
SUNDALE DR,County,6739461664500198
COLBY AVE,Municipality,8487294705144585
CENTERHILL ST,County,9787154854182189
FORDHAM ST,UNKNOWN,8834411735827070
JUNIPER HILL RD,County,6535696019412003
BRICKYARD RD,County,9138723520334983
CROSS LAUREL DR,County,3018801169190754
ASHTON RD,Maryland (State),730071629750289
WATERS RD,County,5256540305256798
BROADWAY AVENUE,UNKNOWN,1136934722568077
FLOWER AVE,Municipality,8127040603275407
ROLLING ACRES WAY,County,6032519219030721
SUTHERLAND RD,County,506677182895024
SOUTHLAWN LA,Municipality,8809083827782498
HOPKINS RD,County,6632773914020008
8600 FLOWER AVE,UNKNOWN,6980516214927240
DAWSON AVE,County,4930965528019706
ROLLINS AVE,UNKNOWN,4289791704890639
HEATHFIELD RD,County,1684887375913352
PALMIRA LA,County,7397660917017595
PIER POINT PL,County,5306503214892163
PARKVIEW AVE,UNKNOWN,6842796593411321
NAVAHOE DR,County,8758839673235716
1336 VEIRS MILL ROAD,UNKNOWN,9888449759120672
ALBERTI DR,County,5402304708356131
CHRISTOPHER AVE,Municipality,8712022653486671
EASLEY ST,County,7601455586649422
HOLMHURST RD,County,2586370354883226
WORTHINGTON DR,County,6453421282468307
THOREAU DR,County,5753718035108358
MAIDEN LA,County,1425837821735383
BRANDERMILL DR,County,7648788168409216
DOGWOOD DR,Municipality,8033083818525063
CLIFTONBROOK LA,County,9637306047415723
DICKERSON RD,Maryland (State),7396381925364162
WESTLAKE DR,County,8057051263767246
RIPLEY ST,County,901965198716090
BARKWOOD DR,County,3650848531302243
BROOKE RD,County,3728764030513788
TIVOLI LAKE BLVD,UNKNOWN,4692164611122157
JOSIAH HENSON PARKWAY,UNKNOWN,6951911818785585
ROSECROFT RD,County,5100834990931243
CLARENDON RD,County,8511371097057644
WINDING WOODS WAY,UNKNOWN,3112369439997022
BOUIC AVE,Municipality,2144435806545376
KENTLANDS BLVD,UNKNOWN,4908463924135490
TRIBECA STREET,UNKNOWN,2467911524380707
PEPPER RIDGE WAY,County,5773569973795779
CADDINGTON AVE,County,722846132958039
CRESTMOOR DR,County,9997955494747974
LANDON LA,County,3392923166558551
403 REDLAND BLVD,UNKNOWN,1917150343776962
MEDWAY ST,County,5157755046801328
THORNAPPLE ST,Municipality,1317822097194700
FLOWER AVE,UNKNOWN,1641610077502015
NORTH ST,Municipality,4798313443284246
AMBERLEIGH DR,County,7573474248397106
